today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=5e-05, kiei(I)=0, kded(D)=0,signal, mad_pitch, multiplier
Sun Feb 11 14:04:08 2018,177317165,926.825,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5028,4138,1218,0,32,12,-0.35913,-0.225055,-10.2185,-0.0170276,-1.30261,-0.0106422,27.1377,32.4328,47.4258,-2.01285,3170.55,-18.3259,1.97074,-16.3551,-0.173092,-0,-0,50.3838,68.7092,50.3838,
Sun Feb 11 14:04:08 2018,177327166,926.599,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4994,4128,1216,0,30,12,-0.612916,-0.177171,-10.1466,-0.00957802,-1.27281,-0.00532112,27.1377,32.4328,47.4258,-3.4568,3170.82,-14.6226,1.79197,-12.8306,0.19598,0,0,50.3838,-77.7948,50.3838,
Sun Feb 11 14:04:08 2018,177337168,926.599,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4994,4128,1216,0,30,12,-0.766145,-0.186748,-10.3238,-0.00957802,-1.22279,-0.00638535,27.1377,32.4328,47.4258,-4.24423,3171.1,-11.1913,1.616,-9.57525,0.193417,-0,-0,50.3838,-76.7774,50.3838,
Sun Feb 11 14:04:08 2018,177347169,926.599,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5000,4138,1218,0,30,14,-0.80924,-0.143652,-10.2472,0,-1.17703,-0.00638535,27.1377,32.4328,47.4258,-4.51539,3171.37,-8.02482,1.45036,-6.57446,0.192848,-0,-0,50.3838,-76.5516,50.3838,
Sun Feb 11 14:04:08 2018,177357170,926.599,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5000,4138,1218,0,30,14,-0.938527,-0.196325,-10.3334,0,-1.12169,-0.0042569,27.1377,32.4328,47.4258,-5.18965,3171.64,-5.11461,1.29039,-3.82423,0.192371,-0,-0,50.3838,-76.3623,50.3838,
Sun Feb 11 14:04:08 2018,177367171,926.599,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5002,4132,1214,0,8,32,-1.09176,-0.191536,-10.2759,0.0117065,-1.07593,-0.00106422,27.1377,32.4328,47.4258,-6.0646,3171.91,-2.4522,1.14182,-1.31037,0.19196,-0,-0,50.3838,-76.1992,50.3838,
Sun Feb 11 14:04:08 2018,177377172,926.929,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5002,4132,1214,0,8,32,-1.30245,-0.205901,-10.2185,0.00851379,-1.0174,-0.00532112,27.1377,32.4328,47.4258,-7.26377,3172.18,-0.0299811,0.998158,0.968177,0.191614,-0,-0,50.3838,-76.0619,50.3838,
Sun Feb 11 14:04:08 2018,177387173,926.929,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5012,4138,1218,0,30,14,-1.35991,-0.201113,-10.2232,0.0117065,-0.955673,-0.00532112,27.1377,32.4328,47.4258,-7.57707,3172.45,2.15991,0.861956,3.02187,0.191343,-0,-0,50.3838,-75.954,50.3838,
Sun Feb 11 14:04:08 2018,177397174,926.929,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5012,4138,1218,0,30,14,-1.36948,-0.215478,-10.0365,0.0117065,-0.89182,-0.0042569,27.1377,32.4328,47.4258,-7.77005,3172.72,4.12706,0.733343,4.86041,0.191151,-0,-0,50.3838,-75.8781,50.3838,
Sun Feb 11 14:04:08 2018,177407175,926.929,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5004,4138,1218,0,8,32,-1.43173,-0.339977,-10.1466,0.00532112,-0.825838,-0.00744957,27.1377,32.4328,47.4258,-8.03166,3172.99,5.88206,0.612647,6.49471,0.191039,-0,-0,50.3838,-75.8337,50.3838,
Sun Feb 11 14:04:08 2018,177417176,926.729,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5004,4138,1218,0,8,32,-1.55623,-0.248997,-10.1418,0.00638535,-0.749214,-0.0117065,27.1377,32.4328,47.4258,-8.72381,3173.25,7.43498,0.496966,7.93195,0.191011,-0,-0,50.3838,-75.8225,50.3838,
Sun Feb 11 14:04:08 2018,177427177,926.729,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5002,4132,1214,0,8,30,-1.58975,-0.225055,-10.1179,0.00851379,-0.675782,-0.0170276,27.1377,32.4328,47.4258,-8.92946,3173.52,8.79539,0.389973,9.18536,0.191078,0,0,50.3838,-75.8491,50.3838,
Sun Feb 11 14:04:08 2018,177437178,926.729,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5002,4132,1214,0,8,30,-1.67594,-0.296881,-10.1993,0.00106422,-0.593837,-0.0180918,27.1377,32.4328,47.4258,-9.33142,3173.78,9.97309,0.288158,10.2613,0.191243,0,0,50.3838,-75.9145,50.3838,
Sun Feb 11 14:04:08 2018,177447179,926.729,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5004,4122,1218,0,32,32,-1.84832,-0.320823,-9.95988,0.00106422,-0.50125,-0.0202203,27.1377,32.4328,47.4258,-10.5132,3174.04,10.9771,0.190978,11.1681,0.191514,0,0,50.3838,-76.0222,50.3838,
Sun Feb 11 14:04:08 2018,177457180,926.729,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5004,4122,1218,0,32,32,-1.71904,-0.138864,-10.1801,-0.00106422,-0.39057,-0.0340552,27.1377,32.4328,47.4258,-9.58465,3174.3,11.8166,0.0966975,11.9133,0.1919,0,0,50.3838,-76.1753,50.3838,
Sun Feb 11 14:04:08 2018,177467181,926.729,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4994,3954,1184,0,32,12,-1.79565,-0.244209,-10.6015,0.0276698,-0.278827,-0.0649177,27.1377,32.4328,47.4258,-9.61334,3174.55,12.5032,0.00957581,12.5127,0.192416,0,0,50.3838,-76.38,50.3838,
Sun Feb 11 14:04:08 2018,177477182,927.181,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4994,3954,1184,0,32,12,-1.87705,-0.258574,-10.1658,-0.0798168,-0.183047,-0.0798168,27.1377,32.4328,47.4258,-10.4615,3174.81,13.0471,-0.0657837,12.9813,0.193021,0,0,50.3838,-76.6203,50.3838,
Sun Feb 11 14:04:08 2018,177487183,927.181,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5000,4010,1200,0,30,14,-1.77171,-0.253785,-10.0892,-0.0255414,-0.102166,-0.0659819,27.1377,32.4328,47.4258,-9.95989,3175.07,13.4573,-0.13034,13.3269,0.193746,0,0,50.3838,-76.9079,50.3838,
Sun Feb 11 14:04:08 2018,177497184,927.181,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5000,4010,1200,0,30,14,-1.62806,-0.181959,-10.1658,0.0148991,-0.0649177,-0.0393763,27.1377,32.4328,47.4258,-9.09871,3175.35,13.7446,-0.176955,13.5676,0.194565,0,0,50.3838,-77.2333,50.3838,
Sun Feb 11 14:04:08 2018,177507185,927.181,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5004,4052,1206,0,8,32,-1.85311,-0.316035,-10.3382,0.0106422,0.0180918,-0.0117065,27.1377,32.4328,47.4258,-10.1623,3175.61,13.9194,-0.231637,13.6877,0.195498,0,0,50.3838,-77.6034,50.3838,
Sun Feb 11 14:04:08 2018,177517186,927.233,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5004,4052,1206,0,8,32,-1.75256,-0.3304,-10.2232,0.0255414,0.128771,-0.00319267,27.1377,32.4328,47.4258,-9.72759,3175.87,13.9898,-0.288121,13.7017,0.196547,0,0,50.3838,-78.0198,50.3838,
Sun Feb 11 14:04:08 2018,177527187,927.233,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4948,4040,1200,0,8,32,-1.81959,-0.435745,-10.137,-0.0159634,0.225616,0.0148991,27.1377,32.4328,47.4258,-10.1762,3176.13,13.964,-0.335055,13.6289,0.197688,0,0,50.3838,-78.4727,50.3838,
Sun Feb 11 14:04:08 2018,177537188,927.233,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4948,4040,1200,0,8,32,-1.58975,-0.411803,-10.343,-0.0117065,0.301175,0.0351194,33.7061,32.7797,43.0992,-8.7382,3176.39,13.8509,-0.370876,13.48,0.198914,0,0,50.3838,-78.9594,50.3838,
Sun Feb 11 14:04:08 2018,177547189,927.233,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5004,4044,1200,0,32,14,-1.70946,-0.23942,-9.96946,-0.0287341,0.380992,0.0383121,33.7061,32.7797,43.0992,-9.72988,3176.65,13.6599,-0.403474,13.2564,0.200214,0,0,50.3838,-79.4755,50.3838,
Sun Feb 11 14:04:08 2018,177557190,927.233,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5004,4044,1200,0,32,14,-1.84354,0.00957681,-9.76834,-0.0042569,0.428882,0.0383121,33.7061,32.7797,43.0992,-10.6875,3176.93,13.3969,-0.423233,12.9737,0.201593,0,0,50.3838,-80.0228,50.3838,
Sun Feb 11 14:04:08 2018,177567191,927.233,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5000,4038,1202,0,30,12,-2.24097,-0.0383072,-9.24641,0.0117065,0.488479,0.0436332,33.7061,32.7797,43.0992,-13.6236,3177.2,13.0634,-0.442889,12.6205,0.202987,0,0,50.3838,-80.5763,50.3838,
Sun Feb 11 14:04:08 2018,177577192,928.206,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5000,4038,1202,0,30,12,-1.9393,-0.526724,-9.9934,-0.00319267,0.544883,0.061725,33.7061,32.7797,43.0992,-10.9822,3177.47,12.6628,-0.458227,12.2046,0.204384,0,0,50.3838,-81.1308,50.3838,
Sun Feb 11 14:04:08 2018,177587193,928.206,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5004,4060,1198,0,8,12,-1.41737,-0.205901,-10.1418,-0.00212845,0.56936,0.0574681,33.7061,32.7797,43.0992,-7.95582,3177.75,12.2074,-0.461742,11.7456,0.205702,0,0,50.3838,-81.654,50.3838,
Sun Feb 11 14:04:08 2018,177597194,928.206,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5004,4060,1198,0,8,12,-2.01113,0.316035,-9.86411,-0.0148991,0.648113,0.0234129,33.7061,32.7797,43.0992,-11.5237,3178.01,11.7083,-0.477863,11.2304,0.206931,0,0,50.3838,-82.1418,50.3838,
Sun Feb 11 14:04:08 2018,177607195,928.206,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5006,4074,1202,0,8,32,-2.07817,-0.349553,-10.3765,0.0500185,0.622571,0.0340552,33.7061,32.7797,43.0992,-11.3252,3178.3,11.1675,-0.462735,10.7047,0.208,0,0,50.3838,-82.5663,50.3838,
Sun Feb 11 14:04:08 2018,177617196,927.207,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5006,4074,1202,0,8,32,-1.44131,-0.445322,-10.4244,-0.0138349,0.708773,0.0361836,33.7061,32.7797,43.0992,-7.87202,3178.56,10.5908,-0.477419,10.1133,0.208838,0,0,50.3838,-82.8987,50.3838,
Sun Feb 11 14:04:08 2018,177627197,927.207,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4994,4020,1202,0,32,32,-1.48919,0.852336,-9.65821,-0.0393763,0.709838,-0.00957802,33.7061,32.7797,43.0992,-8.76538,3178.85,9.98928,-0.465859,9.52342,0.20941,0,0,50.3838,-83.1258,50.3838,
Sun Feb 11 14:04:08 2018,177637198,927.207,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4994,4020,1202,0,32,32,-1.70946,-0.0287304,-10.7069,0.107487,0.625764,0.00638535,33.7061,32.7797,43.0992,-9.07129,3179.16,9.36866,-0.430085,8.93858,0.209685,0,0,50.3838,-83.2352,50.3838,
Sun Feb 11 14:04:08 2018,177647199,927.207,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5000,4042,1196,0,30,14,-0.828394,-0.627281,-10.8505,-0.00744957,0.767306,0.032991,33.7061,32.7797,43.0992,-4.36584,3179.41,8.73591,-0.45774,8.27817,0.209611,-0,-0,50.3838,-83.2055,50.3838,
Sun Feb 11 14:04:08 2018,177657200,927.207,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5000,4042,1196,0,30,14,-0.617704,-0.134075,-10.1658,-0.0478901,0.751342,-0.0266056,33.7061,32.7797,43.0992,-3.4772,3179.7,8.10387,-0.438104,7.66576,0.209187,-0,-0,50.3838,-83.0374,50.3838,
Sun Feb 11 14:04:08 2018,177667201,927.207,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5002,4022,1198,0,30,14,-0.608127,0.287304,-10.7739,0.136221,0.491672,0.00638535,33.7061,32.7797,43.0992,-3.2306,3180.06,7.48121,-0.351588,7.12962,0.208482,-0,-0,50.3838,-82.7574,50.3838,
Sun Feb 11 14:04:08 2018,177677202,926.929,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5002,4022,1198,0,30,14,0.0909797,0.588974,-12.5791,0.1309,0.503378,0.0564039,33.7061,32.7797,43.0992,0.41439,3180.34,6.87424,-0.34556,6.52868,0.207519,-0,-0,50.3838,-82.3755,50.3838,
Sun Feb 11 14:04:08 2018,177687203,926.929,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4894,3012,956,94,32,12,0.138864,-0.770933,-13.3309,0.0798168,0.570424,-0.148991,33.7061,32.7797,43.0992,0.59681,3180.61,6.2912,-0.353633,5.93757,0.206371,-0,-0,50.3838,-81.9197,50.3838,
Sun Feb 11 14:04:08 2018,177697204,926.929,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4894,3012,956,94,32,12,0.751779,0.325611,-9.84975,-0.150056,0.124514,-0.100037,33.7061,32.7797,43.0992,4.36463,3181.02,5.7396,-0.219304,5.5203,0.205038,-0,-0,50.3838,-81.3906,50.3838,
Sun Feb 11 14:04:08 2018,177707205,926.929,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4948,2888,986,82,8,32,1.13964,0.0335188,-14.7339,0.440589,-0.358644,0.00319267,33.7061,32.7797,43.0992,4.42291,3181.45,5.22618,-0.0853082,5.14088,0.203898,-0,-0,50.3838,-80.9379,50.3838,
Sun Feb 11 14:04:08 2018,177717206,926.599,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4948,2888,986,82,8,32,2.57137,-0.761356,-13.6422,-0.343744,-0.205395,-0.173469,33.7061,32.7797,43.0992,10.6743,3181.69,4.75921,-0.136939,4.62227,0.202893,-0,-0,50.3838,-80.539,50.3838,
Sun Feb 11 14:04:08 2018,177727207,926.599,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4968,3026,1028,80,8,30,2.67672,0.454898,-8.98304,-0.280955,-0.470387,-0.135156,33.7061,32.7797,43.0992,16.5927,3182.05,4.35394,-0.0689184,4.28502,0.202121,-0,-0,50.3838,-80.2325,50.3838,
Sun Feb 11 14:04:08 2018,177737208,926.599,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4968,3026,1028,80,8,30,2.32716,0.612916,-9.43794,0.197946,-1.40903,-0.0266056,33.7061,32.7797,43.0992,13.8514,3182.61,4.02114,0.178152,4.19929,0.202026,-0,-0,50.3838,-80.1948,50.3838,
Sun Feb 11 14:04:08 2018,177747209,926.599,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4964,3182,1070,48,8,32,2.36547,0.248997,-10.1658,0.0968444,-1.77193,-0.0925875,33.7061,32.7797,43.0992,13.099,3183,3.7556,0.245838,4.00144,0.202429,0,0,50.3838,-80.3548,50.3838,
Sun Feb 11 14:04:08 2018,177757210,926.599,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4964,3182,1070,48,8,32,2.9736,-0.804452,-13.2974,0.0840737,-1.94221,-0.150056,33.7061,32.7797,43.0992,12.6053,3183.33,3.54815,0.253865,3.80202,0.2031,0,0,50.3838,-80.6211,50.3838,
Sun Feb 11 14:04:08 2018,177767211,926.599,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4978,3302,1080,48,8,30,4.68306,-1.58496,-16.0028,-0.124514,-2.57542,-0.153248,33.7061,32.7797,43.0992,16.3116,3183.8,3.39648,0.387205,3.78369,0.204209,0,0,50.3838,-81.0616,50.3838,
Sun Feb 11 14:04:08 2018,177777212,927.172,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4978,3302,1080,48,8,30,3.68707,-1.72861,-17.9038,-0.137285,-3.32038,-0.184111,33.7061,32.7797,43.0992,11.6367,3184.3,3.29855,0.538514,3.83706,0.205706,0,0,50.3838,-81.6557,50.3838,
Sun Feb 11 14:04:08 2018,177787213,927.172,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4972,3376,1090,36,8,32,2.68151,-1.05824,-8.54251,-0.15112,-4.33139,-0.161762,41.8301,33.9938,30.2859,17.4272,3184.88,3.25029,0.747684,3.99798,0.207367,0,0,50.3838,-82.3151,50.3838,
Sun Feb 11 14:04:08 2018,177797214,927.172,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4972,3376,1090,36,8,32,2.30322,-2.13084,-13.3118,-0.125578,-4.9827,-0.119193,41.8301,33.9938,30.2859,9.81623,3185.35,3.24701,0.837868,4.08488,0.208068,0,0,50.3838,-82.5931,50.3838,
Sun Feb 11 14:04:08 2018,177807215,927.172,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4982,3486,1104,30,32,14,0.134075,-2.92093,-12.3062,-0.0925875,-5.58292,-0.150056,41.8301,33.9938,30.2859,0.62421,3185.81,3.26731,0.903309,4.17062,0.207526,-0,-0,50.3838,-82.3779,50.3838,
Sun Feb 11 14:04:08 2018,177817216,925.808,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4982,3486,1104,30,32,14,0.282516,1.27372,1.28329,-0.275634,-6.10013,-0.148991,41.8301,33.9938,30.2859,167.585,3186.25,3.44215,0.936585,4.37874,0.20528,-0,-0,50.3838,-81.4866,50.3838,
Sun Feb 11 14:04:08 2018,177827217,925.808,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4986,3488,1102,30,32,12,0.3304,0.885855,-12.4977,-0.368222,-5.91709,-0.181982,41.8301,33.9938,30.2859,1.51436,3186.48,3.90748,0.772091,4.67957,0.201004,-0,-0,50.3838,-79.7891,50.3838,
Sun Feb 11 14:04:08 2018,177837218,925.808,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4986,3488,1102,30,32,12,-2.14999,-5.1619,-10.817,-0.470387,-6.25125,-0.252221,41.8301,33.9938,30.2859,-11.2416,3186.86,4.46891,0.760263,5.22918,0.195514,-0,-0,50.3838,-77.6098,50.3838,
Sun Feb 11 14:04:08 2018,177847219,925.808,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4982,3500,1110,26,8,32,-3.89297,0.397437,-7.00543,-0.638535,-6.68014,-0.128771,41.8301,33.9938,30.2859,-29.0613,3187.27,4.91855,0.772449,5.691,0.188323,-0,-0,50.3838,-74.7554,50.3838,
Sun Feb 11 14:04:08 2018,177857220,925.808,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4982,3500,1110,26,8,32,-5.13796,-2.29843,-13.5608,-0.507635,-6.83871,0.0351194,41.8301,33.9938,30.2859,-20.7509,3187.6,5.22636,0.706465,5.93283,0.181047,-0,-0,50.3838,-71.8672,50.3838,
Sun Feb 11 14:04:08 2018,177867221,925.808,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4926,3512,1114,26,32,14,-6.30154,2.64799,4.59208,-0.472516,-6.86105,0.148991,41.8301,33.9938,30.2859,-126.082,3187.9,5.3027,0.606312,5.90902,0.173047,-0,-0,50.3838,-68.6916,50.3838,
Sun Feb 11 14:04:08 2018,177877222,924.844,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4926,3512,1114,26,32,14,-6.62236,2.28886,-9.97424,-0.323524,-6.14802,0.297983,41.8301,33.9938,30.2859,-33.5821,3187.98,5.06328,0.310722,5.374,0.165046,-0,-0,50.3838,-65.5154,50.3838,
Sun Feb 11 14:04:08 2018,177887223,924.844,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4982,3524,1126,24,8,32,-9.34217,-0.311246,-3.66313,-0.104294,-5.91283,0.449103,41.8301,33.9938,30.2859,-68.5896,3188.2,4.57798,0.169938,4.74792,0.157631,-0,-0,50.3838,-62.5719,50.3838,
Sun Feb 11 14:04:08 2018,177897224,924.844,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4982,3524,1126,24,8,32,-8.98783,1.20189,-12.8664,0.112808,-5.37008,0.529984,41.8301,33.9938,30.2859,-34.9362,3188.33,3.92251,-0.0435076,3.879,0.150404,-0,-0,50.3838,-59.7032,50.3838,
Sun Feb 11 14:04:08 2018,177907225,924.844,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4982,3526,1124,28,8,32,-11.9519,-0.181959,1.70946,0.161762,-4.82519,0.511892,41.8301,33.9938,30.2859,-98.1398,3188.46,3.08465,-0.239382,2.84526,0.144052,-0,-0,50.3838,-57.182,50.3838,
Sun Feb 11 14:04:08 2018,177917226,927.137,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4982,3526,1124,28,8,32,-13.4458,-0.521936,-3.29921,0.0787526,-3.71734,0.502314,41.8301,33.9938,30.2859,-76.2137,3188.43,2.0162,-0.572248,1.44395,0.13836,-0,-0,50.3838,-54.9224,50.3838,
